Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20100016,17305,2010,1/1/2010 7:15,32109,ONEOK NGL PIPELINE LP,KINDER MORGAN JCT,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,MCPHERSON,MCPHERSON,KS,"386,707","-9,778,123",INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21,0.1,0,21,NO,NO,NO,,,,,,,,,,,,,,,,110,1517,0,0,0,0,1627
20100254,17331,2010,4/1/2010 8:30,15786,PORTLAND PIPELINE CORP,24-INCH MAIN LINE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,RAYMOND,CUMBERLAND,ME,"4,394,028","-7,049,336",MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0,0.12,0,NO,NO,,,,,,,,,,,,,,,,,4000,8,0,0,0,0,4008
20100038,17747,2010,5/1/2010 10:30,20160,"PETROLOGISTICS OLEFINS, LLC",,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE,SULPHER,CALCASIEU,LA,"301,824","-933,524",MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2,0,0,2,NO,NO,,,,,,,,,,,,,,,,,0,200,0,0,0,0,200
20100260,18574,2010,6/1/2010 19:30,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,,SUPERIOR,DOUGLAS,WI,"466,893","-920,612",NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0,0.48,0,NO,NO,,,,,,,,,,,,,,,,,200,40,0,11300,0,0,11540
20100030,16276,2010,7/1/2010 13:00,300,"PLAINS PIPELINE, L.P.",RED RIVER EAST,ONSHORE,UNDERGROUND,CRUDE OIL,,,SHERMAN,GRAYSON,TX,"3,358,266","-9,664,881",EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,700,,698,2,NO,NO,NO,,,,,,,,,,,,,,,,20000,150,0,7500,2000,0,29650
20100021,17161,2010,8/1/2010 23:38,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",,ONSHORE,UNDERGROUND,CRUDE OIL,,,NECHE,PEMBINA,ND,"4,899,555","-9,752,554",MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3784,0,1547,2237,NO,NO,YES,8/1/2010 23:41,1/13/2010 9:17,0,,,,,,,,,,,,,76940,167775,150000,1800000,2000000,0,4194715
20110036,18052,2010,9/1/2010 0:15,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,GALENA PARK,HARRIS,TX,"294,305","-951,201",MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,35,0,30,5,NO,NO,NO,,,,,,,,,,,,,,,,0,400,0,0,70000,0,70400
20100255,18584,2010,9/1/2010 1:12,12624,MOBIL CORP,HULL STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,HULL,LIBERTY,TX,"3,008,533","-943,805",NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0,0,0.24,NO,NO,,,,,,,,,,,,,,,,,400,13,0,0,0,0,413
20100261,18050,2010,10/1/2010 19:46,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,,,TX,"294,305","-951,201",MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.4,0,0.4,0,NO,NO,,,,,,,,,,,,,,,,,0,336,0,0,40000,0,40336
20100024,18390,2010,11/1/2010 14:30,31684,CONOCOPHILLIPS,TANK 1501,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,PASADENA,HARRIS,TX,"2,971,478","-9,517,611",ALL OTHER CAUSES,MISCELLANEOUS,0.48,0,0.48,0,NO,NO,NO,,,,,,,,,,,,,,,,0,50,0,10000,10000,10000,30050
